'10073', Improper use of negative value, NEGATIVE_RETURNS, none, Integer handling issues, Integer handling issues, Medium, msVCProj.apacheOther, New, Unclassified, Unspecified, Unassigned
'10074', Improper use of negative value, NEGATIVE_RETURNS, none, Integer handling issues, Integer handling issues, Medium, msVCProj.apacheOther, New, Unclassified, Unspecified, Unassigned
'10075', Improper use of negative value, NEGATIVE_RETURNS, none, Integer handling issues, Integer handling issues, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10076', Improper use of negative value, NEGATIVE_RETURNS, none, Integer handling issues, Integer handling issues, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10077', Improper use of negative value, NEGATIVE_RETURNS, none, Integer handling issues, Integer handling issues, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10078', Improper use of negative value, NEGATIVE_RETURNS, none, Integer handling issues, Integer handling issues, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10079', Unsigned compared against 0, NO_EFFECT, unsigned_compare, Control flow issues, Control flow issues, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10080', Unsigned compared against 0, NO_EFFECT, unsigned_compare, Control flow issues, Control flow issues, Medium, msVCProj.core, Dismissed, Intentional, Unspecified, Unassigned
'10081', Unsigned compared against 0, NO_EFFECT, unsigned_compare, Control flow issues, Control flow issues, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10082', Unsigned compared against 0, NO_EFFECT, unsigned_compare, Control flow issues, Control flow issues, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10083', Unsigned compared against 0, NO_EFFECT, unsigned_compare, Control flow issues, Control flow issues, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10084', Unsigned compared against 0, NO_EFFECT, unsigned_compare, Control flow issues, Control flow issues, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10085', Unsigned compared against 0, NO_EFFECT, unsigned_compare, Control flow issues, Control flow issues, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10086', Unsigned compared against 0, NO_EFFECT, unsigned_compare, Control flow issues, Control flow issues, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10087', Unsigned compared against 0, NO_EFFECT, unsigned_compare, Control flow issues, Control flow issues, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10088', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10089', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10090', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10091', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10092', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10093', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10094', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10095', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10096', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10097', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10098', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10099', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10100', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10101', Array compared against 0, NO_EFFECT, array_null, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10102', Out-of-bounds write, OVERRUN, write, Memory - corruptions, Memory - corruptions, High, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10103', Out-of-bounds write, OVERRUN, write, Memory - corruptions, Memory - corruptions, High, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10104', Out-of-bounds access, OVERRUN, none, Memory - corruptions, Memory - corruptions, High, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10105', Out-of-bounds access, OVERRUN, none, Memory - corruptions, Memory - corruptions, High, msVCProj.core, Triaged, Bug, Unspecified, Unassigned
'10106', Out-of-bounds access, OVERRUN, none, Memory - corruptions, Memory - corruptions, High, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10107', Out-of-bounds access, OVERRUN, none, Memory - corruptions, Memory - corruptions, High, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10108', Out-of-bounds access, OVERRUN, none, Memory - corruptions, Memory - corruptions, High, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10109', Out-of-bounds access, OVERRUN, none, Memory - corruptions, Memory - corruptions, High, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10110', Out-of-bounds access, OVERRUN, none, Memory - corruptions, Memory - corruptions, High, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10111', Big parameter passed by value, PASS_BY_VALUE, none, Performance inefficiencies, Performance inefficiencies, Low, msVCProj.gui, Dismissed, Intentional, Unspecified, Unassigned
'10112', Resource leak, RESOURCE_LEAK, none, Resource leaks, Resource leaks, High, msVCProj.apacheOther, Triaged, Bug, Unspecified, Unassigned
'10113', Wrong sizeof argument, SIZEOF_MISMATCH, wrong_sizeof, Incorrect expression, Incorrect expression, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10114', Uncaught exception, UNCAUGHT_EXCEPT, none, Error handling issues, Error handling issues, Medium, msVCProj.core, Dismissed, False Positive, Unspecified, Unassigned
'10115', Uncaught exception, UNCAUGHT_EXCEPT, none, Error handling issues, Error handling issues, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10116', Uncaught exception, UNCAUGHT_EXCEPT, none, Error handling issues, Error handling issues, Medium, msVCProj.network, New, Unclassified, Unspecified, Unassigned
'10117', Uncaught exception, UNCAUGHT_EXCEPT, none, Error handling issues, Error handling issues, Medium, msVCProj.network, New, Unclassified, Unspecified, Unassigned
'10118', Uncaught exception, UNCAUGHT_EXCEPT, none, Error handling issues, Error handling issues, Medium, msVCProj.network, New, Unclassified, Unspecified, Unassigned
'10119', Uncaught exception, UNCAUGHT_EXCEPT, none, Error handling issues, Error handling issues, Medium, msVCProj.network, New, Unclassified, Unspecified, Unassigned
'10120', Uncaught exception, UNCAUGHT_EXCEPT, none, Error handling issues, Error handling issues, Medium, msVCProj.network, New, Unclassified, Unspecified, Unassigned
'10121', Uncaught exception, UNCAUGHT_EXCEPT, none, Error handling issues, Error handling issues, Medium, msVCProj.network, New, Unclassified, Unspecified, Unassigned
'10122', Uncaught exception, UNCAUGHT_EXCEPT, none, Error handling issues, Error handling issues, Medium, msVCProj.apacheOther, New, Unclassified, Unspecified, Unassigned
'10123', Uncaught exception, UNCAUGHT_EXCEPT, none, Error handling issues, Error handling issues, Medium, msVCProj.apacheOther, New, Unclassified, Unspecified, Unassigned
'10124', Uninitialized scalar variable, UNINIT, none, Uninitialized variables, Uninitialized variables, High, msVCProj.gui, New, Unclassified, Unspecified, Unassigned
'10125', Uninitialized scalar variable, UNINIT, none, Uninitialized variables, Uninitialized variables, High, msVCProj.gui, New, Unclassified, Unspecified, Unassigned
'10126', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10127', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10128', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10129', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10130', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10131', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10132', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10133', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, Dismissed, Intentional, Unspecified, Unassigned
'10134', Uninitialized pointer field, UNINIT_CTOR, pointer, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10135', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10136', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10137', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10138', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10139', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10140', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10141', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10142', Uninitialized pointer field, UNINIT_CTOR, pointer, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10143', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10144', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, Dismissed, Intentional, Unspecified, Unassigned
'10145', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10146', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10147', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10148', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10149', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10150', Uninitialized pointer field, UNINIT_CTOR, pointer, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10151', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10152', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10153', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10154', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10155', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10156', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10157', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10158', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10159', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10160', Uninitialized pointer field, UNINIT_CTOR, pointer, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10161', Uninitialized pointer field, UNINIT_CTOR, pointer, Uninitialized members, Uninitialized members, Medium, msVCProj.core, New, Unclassified, Unspecified, Unassigned
'10162', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10163', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10164', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10165', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10166', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10167', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10168', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10169', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10170', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10171', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10172', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10173', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10174', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10175', Uninitialized pointer field, UNINIT_CTOR, pointer, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10176', Uninitialized scalar field, UNINIT_CTOR, none, Uninitialized members, Uninitialized members, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
